Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U10        SON80P300X60_HS-9L           4mm      13.125mm           4mm      13.125mm        5.31mm      14.325mm  B        180.00 IS25LQ032B-JTLA
R10        _0201                11.555mm       7.725mm      11.555mm       7.725mm      11.805mm       7.725mm  B        180.00 4k7            
R11        _0201                 3.975mm        26.9mm       3.975mm        26.9mm       4.225mm        26.9mm  B        180.00 12k            
R12        _0201                   1.8mm        24.4mm         1.8mm        24.4mm        1.55mm        24.4mm  T        360.00 4k7            
R13        _0201                 9.505mm         6.7mm       9.505mm         6.7mm       9.505mm        6.95mm  B        270.00 27k            
R14        _0201                 15.83mm       0.925mm       15.83mm       0.925mm       16.08mm       0.925mm  B        180.00 90k9           
R15        _0201                   1.8mm       23.75mm         1.8mm       23.75mm        1.55mm       23.75mm  T        360.00 4k7            
R16        _0201                 12.03mm       0.925mm       12.03mm       0.925mm       12.28mm       0.925mm  B        180.00 30k1           
R17        _0201                  9.53mm       0.925mm        9.53mm       0.925mm        9.28mm       0.925mm  B        360.00 47k5           
R18        _0201                   1.3mm       14.75mm         1.3mm       14.75mm        1.55mm       14.75mm  T        180.00 20k            
R19        _0201                  26.9mm      11.175mm        26.9mm      11.175mm       26.65mm      11.175mm  B        360.00 240R           
R20        _0201                24.675mm       9.325mm      24.675mm       9.325mm      24.425mm       9.325mm  T        360.00 240R           
R21        _0201                  5.73mm       0.925mm        5.73mm       0.925mm        5.98mm       0.925mm  B        180.00 13k3           
R22        _0201                  26.9mm       8.575mm        26.9mm       8.575mm       27.15mm       8.575mm  B        180.00 240R           
R23        _0201                25.975mm      10.625mm      25.975mm      10.625mm      26.225mm      10.625mm  T        180.00 47R            
R24        _0201                  26.9mm      14.625mm        26.9mm      14.625mm       27.15mm      14.625mm  B        180.00 47R            
R25        _0201                  25.6mm       15.85mm        25.6mm       15.85mm        25.6mm        16.1mm  B        270.00 47R            
